'u','urms','irms','p','s','q','pf','phi','ufreq','upeak','ipeak','u1','u2','u3','u4','u5','u6','u7','u8','u9','u10','i1','i2','i3','i4','i5','i6','i7','i8','i9','i10','p1','p2','p3','p4','p5','p6','p7','p8','p9','p10','device','state','Device Id','Device Type','Device State'
229,229.3,0.33,41.49,75.79,63.42,0.55,56.8,49.92,316.35,1.32,229.61,0.49,1.4,0.96,4.65,0.58,2.96,0.75,1.01,0.79,0.18,0.02,0.16,0.02,0.14,0.02,0.1,0.01,0.07,0.01,40.66,0,-0.17,0.01,-0.31,-0.01,-0.02,0,-0.06,0.01,'zenith h67m cpu','work',1,1,2
232.61,232.26,0.36,46.8,83.27,68.87,0.56,55.8,49.92,316.14,1.34,229.7,0.48,1.42,0.98,4.79,0.56,3.12,0.76,0.96,0.81,0.2,0.01,0.18,0.02,0.15,0.02,0.11,0.02,0.07,0.02,44.86,0,-0.2,0.01,-0.34,-0.01,0.04,0,-0.07,0.01,'zenith h67m cpu','work',1,1,2
229.09,229.4,0.37,46.22,83.82,69.93,0.55,56.54,49.92,316.11,1.48,229.5,0.66,1.42,0.96,4.75,0.54,2.94,0.75,0.99,0.8,0.2,0.03,0.18,0.03,0.15,0.02,0.11,0.02,0.07,0.01,45.82,-0.01,-0.2,0.02,-0.34,-0.01,0.02,0.01,-0.07,0,'zenith h67m cpu','work',1,1,2
229.07,229.37,0.37,46.42,84.33,-70.41,0.55,-56.61,49.92,315.95,1.68,229.54,0.6,1.53,0.97,4.78,0.48,3.04,0.78,1.01,0.79,0.26,0.01,0.24,0.01,0.19,0.02,0.14,0.02,0.09,0.03,58.95,0,-0.3,0.01,-0.34,0,0.12,-0.01,-0.09,0.02,'zenith h67m cpu','work',1,1,2
229.67,229.97,0.37,46.24,85.62,72.06,0.54,57.31,49.92,317.25,1.36,230.12,0.51,1.51,0.93,4.83,0.58,2.92,0.81,1.15,0.82,0.21,0.01,0.2,0.01,0.16,0.02,0.12,0.02,0.08,0.02,47.98,0,-0.23,0.01,-0.24,0,0.08,-0.01,-0.09,0.01,'zenith h67m cpu','work',1,1,2
229.09,229.39,0.39,49.32,89.23,-74.36,0.55,-56.44,49.92,316.29,1.55,229.73,0.63,1.51,0.99,4.76,0.58,3.05,0.77,1.04,0.82,0.21,0.02,0.19,0.02,0.15,0.02,0.11,0.02,0.08,0.01,46.43,-0.01,-0.22,0.02,-0.32,-0.01,0.03,0.01,-0.07,0.01,'zenith h67m cpu','work',1,1,2
230.23,230.33,0.41,51.96,94.12,-78.48,0.55,-56.5,49.92,316.32,1.67,229.62,0.62,1.45,0.91,4.88,0.57,2.9,0.75,1.09,0.85,0.23,0.03,0.2,0.03,0.17,0.02,0.12,0.02,0.08,0.01,50.92,-0.01,-0.24,0.02,-0.33,-0.01,0.07,0.01,-0.08,0,'zenith h67m cpu','work',1,1,2
229.24,229.54,0.43,54.62,99.45,-83.11,0.55,-56.69,49.92,316.35,1.7,229.78,0.48,1.44,0.97,4.83,0.56,3.04,0.76,1.04,0.8,0.2,0.01,0.19,0.01,0.15,0.01,0.11,0.02,0.08,0.02,45.91,0,-0.21,0.01,-0.35,0,0.02,0,-0.07,0.01,'zenith h67m cpu','work',1,1,2
230.14,230.18,0.45,57.55,103.56,-86.1,0.56,-56.24,49.92,315.67,1.7,229.48,0.56,1.57,0.99,4.82,0.55,3.06,0.74,0.98,0.81,0.28,0.01,0.25,0.01,0.19,0.02,0.14,0.01,0.09,0.01,62.37,0,-0.33,0,-0.39,-0.01,0.13,0,-0.09,0.01,'zenith h67m cpu','work',1,1,2
232.97,232.6,0.46,60.61,107.74,89.07,0.56,55.76,49.92,317.32,1.7,230.08,0.45,1.51,0.91,4.58,0.61,2.89,0.77,1.08,0.85,0.22,0.03,0.2,0.03,0.17,0.02,0.12,0.02,0.08,0.01,48.93,-0.01,-0.24,0.02,-0.27,-0.01,0.05,0.01,-0.08,0,'zenith h67m cpu','work',1,1,2
